;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
1.7712028208330721;2.8124568152030194e+34;2.8010824437977205e+35;7.30134145403044e+35;2.3533717675154447e+36;5.526418763177644e+36;6.507657447224276e+36;1.5503612550966526e+37;2.5661457205293785e+37;3.816480512288744e+37;5.924562425875191e+37;7.936516074935357e+37;2.2033864554606422e+38;3.126084168609212e+38;1.189641015872248e+39;2.6632602539773153e+39;5.4350488174906674e+39;8.623899793613384e+39;1.1223213373757143e+40;1.5737259963294628e+40;2.1561048170009079e+40;2.3922104200571304e+40;2.72218564120252e+40
1.766156658950357;1.0602426784482499e+35;2.419913733816603e+35;7.362346227596797e+35;1.9487830491193235e+36;5.502617166785174e+36;7.788971484800059e+36;1.7240945262829208e+37;2.6261818930055686e+37;4.551149530872303e+37;5.838799672474713e+37;7.9964412628057575e+37;2.2834439703089423e+38;4.4119856037458145e+38;1.3821809108547484e+39;3.195642311495754e+39;6.397792523828359e+39;9.900453799461885e+39;1.261569056828168e+40;1.905475581897819e+40;2.3874878978357674e+40;2.8241265181457245e+40;3.06340495556319e+40
1.761139168441975;1.0626554914668646e+35;3.6363960237572385e+35;5.319431836650123e+35;2.3242957769404766e+36;5.164469103842467e+36;1.0024002805916154e+37;1.9807939898028215e+37;2.775327480546206e+37;5.146017132804547e+37;6.4783622077607e+37;8.543015961953642e+37;2.3216369397291018e+38;5.05443081415756e+38;1.6435285872987418e+39;4.175910340323889e+39;7.315691960834426e+39;1.1547937163326615e+40;1.6018521029563706e+40;2.219753697668729e+40;2.683366164879141e+40;3.2841344935921254e+40;3.628166713305952e+40
1.7561501056418565;6.092722939109036e+34;4.088210157098432e+35;1.0088482707474402e+36;2.62661914193113e+36;7.49239185598056e+36;1.0562748084225644e+37;1.8660149250062323e+37;3.65764302323367e+37;5.220996265704447e+37;7.678105299318197e+37;9.864229171740766e+37;2.9429630191239412e+38;6.0372059950481194e+38;1.7152861971821497e+39;4.64469320229517e+39;8.913425933242498e+39;1.3080009260306682e+40;1.952645101115503e+40;2.482093101076993e+40;3.029730550882395e+40;3.8099666588353396e+40;4.227187075147736e+40
1.7511892296372182;1.5675677371765777e+35;3.9938820140266266e+35;8.424831535413381e+35;1.4622324599834938e+36;5.591078023326036e+36;1.0290616942642449e+37;2.1789293269808476e+37;3.447790026120755e+37;5.746143378756068e+37;8.228367288377606e+37;1.168505041356342e+38;3.659734114116066e+38;6.932173483343418e+38;2.2872334602969473e+39;5.395516366139002e+39;1.0232412727787632e+40;1.5158110601503916e+40;2.1988682982206157e+40;2.8235331469631767e+40;3.56533912286308e+40;4.448599151635205e+40;4.852637607520553e+40
1.7462563022297894;1.2783153703340226e+35;4.120319943227325e+35;1.1708629818357126e+36;3.4021232566963725e+36;7.10454396543786e+36;1.2109857048281012e+37;2.4398541216943495e+37;3.8308541992780124e+37;7.128003366505758e+37;9.841379519651936e+37;1.3396049812762796e+38;3.544710029771296e+38;9.4252722375195e+38;2.530524487240916e+39;6.481974976797159e+39;1.1805133357770983e+40;1.8076446541265622e+40;2.4945436017011655e+40;3.497086613573218e+40;4.234010777569923e+40;5.011446477798785e+40;5.608110251044759e+40
1.7413510878976834;1.551029797514409e+35;5.1329926920209915e+35;7.601682944022522e+35;3.126683552420069e+36;8.623362852809071e+36;1.4445325808980321e+37;3.1503219779129154e+37;4.780725467203169e+37;7.922867523850444e+37;1.0955903140566735e+38;1.5761961749518158e+38;4.7222738302734e+38;1.0988482853104398e+39;2.9545793789678044e+39;7.820980363942472e+39;1.432679364341517e+40;2.0504093971254649e+40;2.9072046850439117e+40;4.086227102700649e+40;4.895935108835111e+40;5.946653076562088e+40;6.54534463454858e+40
1.7364733537579138;1.683007162544804e+35;5.668537563585824e+35;1.6250598777925335e+36;3.8928774806776045e+36;9.780568593088477e+36;1.5575985264634444e+37;3.240406681966162e+37;5.300732478636174e+37;8.941918873395098e+37;1.1752858271332484e+38;1.8232801799682096e+38;6.051425266785807e+38;1.2083931299391378e+39;3.7045674358267456e+39;8.890369950623866e+39;1.705060364538407e+40;2.49810623576823e+40;3.3079867377745253e+40;4.661719207763073e+40;5.545503467661975e+40;7.242943820938429e+40;7.737118075595199e+40
1.73162286952954;1.721338715521937e+35;5.417378220720077e+35;1.6551512221475315e+36;4.173888919442658e+36;9.082490567668439e+36;1.8007963522176953e+37;3.565902709974871e+37;5.796821825982075e+37;1.0600973763841957e+38;1.4468156474644496e+38;2.1769409586021597e+38;7.392334268127017e+38;1.3176138774885657e+39;4.130364195315121e+39;1.0509312992911373e+40;1.8898645184611232e+40;2.9193301850772803e+40;3.867010875990319e+40;5.425294190763174e+40;6.464527032826173e+40;8.307131860665843e+40;8.822189295999614e+40
1.7267994074974242;1.707930000162771e+35;6.677160769593976e+35;1.6362117073143e+36;3.910102781444246e+36;9.296473869173262e+36;2.1807501145891503e+37;4.35420658728175e+37;7.066193337164217e+37;1.1979700463931948e+38;1.6346355142203341e+38;2.6013146057044875e+38;8.276367131549115e+38;1.6346865056453788e+39;4.781861791161154e+39;1.3020213267191608e+40;2.1825893621568307e+40;3.430619828784738e+40;4.636847515161356e+40;6.463654129086126e+40;7.855009828012633e+40;9.413206177127157e+40;1.018585060149134e+41
