delta_mu_ev,p_th_w_cm3,temperature_k,delta_mu_carrier_statistics_model
1.0611789929294846,169469.15904010375,300.0,fd
1.0611789929294846,177069.58993095998,300.1540308225878,fd
1.0611789929294846,185010.88844666228,300.3080616451756,fd
1.0611789929294846,193308.3419754308,300.46209246776334,fd
1.0611789929294846,201977.92352131248,300.61612329035114,fd
1.0611789929294846,211036.32245299703,300.77015411293894,fd
1.0611789929294846,220500.97663166595,300.92418493552674,fd
1.0611789929294846,230390.1059797302,301.07821575811454,fd
1.0611789929294846,240722.74755507178,301.2322465807023,fd
1.0611789929294846,251518.79219831192,301.3862774032901,fd
1.0611789929294846,262799.02282365185,301.5403082258779,fd
1.0611789929294846,274585.1544270016,301.6943390484657,fd
1.0611789929294846,286899.87588840694,301.8483698710535,fd
1.0611789929294846,299766.89364925516,302.0024006936412,fd
1.0611789929294846,313210.97734833474,302.156431516229,fd
1.0611789929294846,327258.00750460156,302.3104623388168,fd
1.0611789929294846,341935.0253384439,302.4644931614046,fd
1.0611789929294846,357270.2848273576,302.6185239839924,fd
1.0611789929294846,373293.30709623086,302.77255480658016,fd
1.0611789929294846,390034.93724695715,302.92658562916796,fd
1.0611789929294846,407527.4037367648,303.08061645175576,fd
1.0611789929294846,425804.38041957415,303.23464727434356,fd
1.0611789929294846,444901.0513698143,303.38867809693136,fd
1.0611789929294846,464854.17861348664,303.5427089195191,fd
1.0611789929294846,485702.17289686773,303.6967397421069,fd
1.0611789929294846,507485.16762906977,303.8507705646947,fd
1.0611789929294846,530245.0961408204,304.0048013872825,fd
1.0611789929294846,554025.7724081757,304.1588322098703,fd
1.0611789929294846,578872.9753965676,304.3128630324581,fd
1.0611789929294846,604834.5371875509,304.46689385504584,fd
1.0611789929294846,631960.4350579067,304.62092467763364,fd
1.0611789929294846,660302.8876883368,304.77495550022144,fd
1.0611789929294846,689916.4556869855,304.92898632280924,fd
1.0611789929294846,720858.1466212778,305.1796582797468,fd
1.0611789929294846,753187.5247602767,305.51299800712195,fd
1.0611789929294846,786966.825738815,305.84633773449707,fd
1.0611789929294846,822261.076364137,306.1796774618722,fd
1.0611789929294846,859138.21979569,306.51301718924736,fd
1.0611789929294846,897669.2463390214,306.84635691662254,fd
1.0611789929294846,937928.3301055967,307.17969664399766,fd
1.0611789929294846,979992.9718015924,307.51303637137283,fd
1.0611789929294846,1023944.1479205467,307.84637609874795,fd
1.0611789929294846,1069866.466627071,308.17971582612313,fd
1.0611789929294846,1117848.3306317138,308.51305555349825,fd
1.0611789929294846,1167982.107370493,308.8463952808734,fd
1.0611789929294846,1220364.3068167367,309.17973500824854,fd
1.0611789929294846,1275095.7672675033,309.5130747356237,fd
1.0611789929294846,1332281.8494622372,309.84641446299884,fd
1.0611789929294846,1392032.6394073472,310.2587284754663,fd
1.0611789929294846,1454463.1602971533,310.7385196797585,fd
1.0611789929294846,1519693.5939391747,311.2183108840507,fd
1.0611789929294846,1587849.5121099737,311.6981020883429,fd
1.0611789929294846,1659062.1182869805,312.1778932926352,fd
1.0611789929294846,1733468.5002216047,312.6576844969274,fd
1.0611789929294846,1811211.893839861,313.1374757012196,fd
1.0611789929294846,1892441.95897855,313.6172669055118,fd
1.0611789929294846,1977315.0674877453,314.09705810980404,fd
1.0611789929294846,2065994.6042542711,314.57684931409625,fd
1.0611789929294846,2158651.2817256,315.0718386919252,fd
1.0611789929294846,2255463.468539667,315.6803707727438,fd
1.0611789929294846,2356617.532893227,316.2889028535623,fd
1.0611789929294846,2462308.201309751,316.89743493438084,fd
1.0611789929294846,2572738.9334975076,317.50596701519936,fd
1.0611789929294846,2688122.3140194784,318.1144990960179,fd
1.0611789929294846,2808680.4615290104,318.72303117683646,fd
1.0611789929294846,2934645.4563591164,319.331563257655,fd
1.0611789929294846,3066259.787288463,319.94009533847355,fd
1.0611789929294846,3203776.818344132,320.65536672248845,fd
1.0611789929294846,3347461.276539792,321.3822929775592,fd
1.0611789929294846,3497589.7614881177,322.10921923263,fd
1.0611789929294846,3654451.2778686034,322.8361454877008,fd
1.0611789929294846,3818347.7917757044,323.56307174277157,fd
1.0611789929294846,3989594.812018347,324.2899979978423,fd
1.0611789929294846,4168521.9974898216,325.0194156025072,fd
1.0611789929294846,4355473.791777285,325.8533496788282,fd
1.0611789929294846,4550810.086232508,326.6872837551491,fd
1.0611789929294846,4754906.912780375,327.52121783147004,fd
1.0611789929294846,4968157.167798688,328.355151907791,fd
1.0611789929294846,5190971.36846295,329.18908598411195,fd
1.0611789929294846,5423778.443012007,330.02584774547546,fd
1.0611789929294846,5667026.556455885,330.96221869075873,fd
1.0611789929294846,5921183.973315412,331.89858963604206,fd
1.0611789929294846,6186739.959054261,332.8349605813254,fd
1.0611789929294846,6464205.721938956,333.7713315266087,fd
1.0611789929294846,6754115.397139781,334.70770247189205,fd
1.0611789929294846,7057027.074967133,335.711435339966,fd
1.0611789929294846,7373523.875222661,336.7457388277787,fd
1.0611789929294846,7704215.06973343,337.7800423155914,fd
1.0611789929294846,8049737.255229975,338.8143458034041,fd
1.0611789929294846,8410755.578826228,339.84864929121676,fd
1.0611789929294846,8787965.01846016,340.9636674634599,fd
1.0611789929294846,9182091.720760379,342.09252128466176,fd
1.0611789929294846,9593894.39891389,343.22137510586356,fd
1.0611789929294846,10024165.793226179,344.35022892706536,fd
1.0611789929294846,10473734.197184978,345.51812019167727,fd
1.0611789929294846,10943465.051965833,346.73895721895934,fd
1.0611789929294846,11434262.612448696,347.9597942462414,fd
1.0611789929294846,11947071.687952815,349.1806312735235,fd
1.0611789929294846,12482879.461040903,350.431070586918,fd
1.0611789929294846,13042717.387893876,351.7419260961219,fd
1.0611789929294846,13627663.183914473,353.05278160532583,fd
1.0611789929294846,14238842.898382109,354.3636371145297,fd
1.0611789929294846,14877433.082152953,355.7200326196482,fd
1.0611789929294846,15544663.052577728,357.1193936994591,fd
1.0611789929294846,16241817.259997869,358.51875477927,fd
1.0611789929294846,16970237.760375224,359.91811585908084,fd
1.0611789929294846,17731326.798815582,361.3997023488445,fd
1.0611789929294846,18526549.508958913,362.886399331898,fd
1.0611789929294846,19357436.73343345,364.37309631495157,fd
1.0611789929294846,20225587.97080263,365.90977802698177,fd
1.0611789929294846,21132674.454678074,367.4829052554685,fd
1.0611789929294846,22080442.37092608,369.0560324839553,fd
1.0611789929294846,23070716.219160855,370.6634468890931,fd
1.0611789929294846,24105402.324995548,372.3223044816053,fd
1.0611789929294846,25186492.50981228,373.9811620741174,fd
1.0611789929294846,26316067.925115973,375.6728885740396,fd
1.0611789929294846,27496303.05885253,377.4169386058745,fd
1.0611789929294846,28729469.92140467,379.16098863770935,fd
1.0611789929294846,30017942.41932326,380.9490354798269,fd
1.0611789929294846,31364200.92521326,382.77786933466973,fd
1.0611789929294846,32770837.052572556,384.6067031895126,fd
1.0611789929294846,34240558.64477473,386.5018489638447,fd
1.0611789929294846,35776194.98780002,388.41516234070224,fd
1.0611789929294846,37380702.25674929,390.3429415002263,fd
1.0611789929294846,39057169.206625745,392.3405155210306,fd
1.0611789929294846,40808823.118339464,394.33808954183496,fd
1.0611789929294846,42639036.01138104,396.39190466751984,fd
1.0611789929294846,44551331.135124,398.4735910150756,fd
1.0611789929294846,46549389.751252644,400.57769002253997,fd
1.0611789929294846,48637058.22037037,402.7433994750949,fd
1.0611789929294846,50818355.40643225,404.90910892764975,fd
1.0611789929294846,53097480.41325518,407.1552774370646,fd
1.0611789929294846,55478820.667997524,409.40497059713226,fd
1.0611789929294846,57966960.36717152,411.71643678008274,fd
1.0611789929294846,60566689.30144577,414.05011700184286,fd
1.0611789929294846,63283012.07622662,416.43362269353617,fd
1.0611789929294846,66121157.74576849,418.85133019309364,fd
1.0611789929294846,69086589.87935914,421.3131809413172,fd
1.0611789929294846,72185017.07895792,423.814987962877,fd
1.0611789929294846,75422403.96853383,426.3611123244253,fd
1.0611789929294846,78804982.6762584,428.94711881034374,fd
1.0611789929294846,82339264.831658,431.583117391348,fd
1.0611789929294846,86032054.1008183,434.25344828470503,fd
1.0611789929294846,89890459.2837749,436.98463436733044,fd
1.0611789929294846,93921907.99930176,439.73943623000554,fd
1.0611789929294846,98134160.98343979,442.5708695489866,fd
1.0611789929294846,102535327.02929406,445.42256504515984,fd
1.0611789929294846,107133878.59685722,448.34682379555636,fd
1.0611789929294846,111938668.12290952,451.30803748218807,fd
1.0611789929294846,116958945.06239276,454.317314940457,fd
1.0611789929294846,122204373.69406366,457.39248794732197,fd
1.0611789929294846,127685051.72470339,460.50044503980445,fd
1.0611789929294846,133411529.72769709,463.68040934626885,fd
1.0611789929294846,139394831.45340344,466.9105058402254,fd
1.0611789929294846,145646475.05041638,470.1807976327169,fd
1.0611789929294846,152178495.23855823,473.5323911268424,fd
1.0611789929294846,159003466.47631264,476.93243454995934,fd
1.0611789929294846,166134527.16726577,480.37953051750765,fd
1.0611789929294846,173585404.95217916,483.9037708202804,fd
1.0611789929294846,181370443.13536915,487.48775982564945,fd
1.0611789929294846,189504628.2962698,491.1251970872538,fd
1.0611789929294846,198003619.13933128,494.8231630691192,fd
1.0611789929294846,206883776.6377924,498.60423790418895,fd
1.0611789929294846,216162195.52935457,502.4447664092382,fd
1.0611789929294846,225856737.22438827,506.34747701078425,fd
1.0611789929294846,235986064.1900221,510.31501650190205,fd
1.0611789929294846,246569675.87630412,514.3638540766644,fd
1.0611789929294846,257627946.25360233,518.4872503691781,fd
1.0611789929294846,269182163.03348345,522.6808501887789,fd
1.0611789929294846,281254568.6486137,526.947091627826,fd
1.0611789929294846,293868403.07051855,531.2883513348594,fd
