mu_e_ev,qfls_ev,temperature_k_exp,p_th_exp_w_cm3,du_dt_intra_w_cm3_at_exp_mu_t,p_th_model_w_cm3_at_exp_mu_t,q_s_cm1_at_exp_mu_t,tau_c_lo_energy_s_at_exp_mu_t
0.5994185588816904,1.1211789929294846,298.913105657861,221415.0973196066,-193687.66709304968,193687.66709304968,170799.6526161133,7.86696816200704e-07
0.6140786824916842,1.150046076176378,300.6573745397016,311424.65732105495,-1004801.4233701006,1004801.4233701006,229081.12520539426,4.987105388388178e-07
0.6233154403981619,1.1680425302716708,302.49362798931793,402789.30827000755,-2286216.722108621,2286216.722108621,276086.85814088833,3.800540830345512e-07
0.6347329259769235,1.190225628718771,305.0027446694208,597124.8959279734,-4933120.102003489,4933120.102003489,346354.1497534508,2.7822296177705564e-07
0.6471492802649466,1.215178879324226,304.53876755884784,955831.0416445789,-6120383.408961928,6120383.408961928,433161.8437899517,2.0902073278976307e-07
0.6568122394495157,1.2345569914272607,304.3378691837163,1425785.3651377033,-7303929.861996398,7303929.861996398,514146.2564888449,1.6962598964419762e-07
0.6658896627958313,1.2527823072388837,304.0666272079944,2146179.0474349507,-8395307.59782495,8395307.59782495,601385.0090643417,1.4108708404835445e-07
0.671256534578446,1.263069349060016,305.7860223893283,2902955.771792537,-12144883.060749458,12144883.060749458,662049.4569782013,1.2597685955279436e-07
0.6781317850328666,1.2770024276084493,305.083264636796,4361243.725463005,-12486928.360221185,12486928.360221185,739474.0941583611,1.1121143667062204e-07
0.6830559384511736,1.2867313189621898,305.54290556845245,5560519.065272828,-14572902.11440587,14572902.11440587,800462.2411278114,1.0163290620233891e-07
0.6897533148397981,1.3002870612929291,304.9232423005691,8840009.653359624,-14939049.571931252,14939049.571931252,885598.6233915263,9.080437512663626e-08
0.7021445265206342,1.3238075386557273,309.78058592691553,18004165.39180536,-31864592.869373746,31864592.869373746,1062247.2785233466,7.327372708320426e-08
0.7119828554705092,1.3435355982141786,309.5827363204355,29747853.407154035,-36169539.413053215,36169539.413053215,1201065.8269716585,6.344848352315615e-08
0.7247089381458699,1.3681099103855894,312.96167214589656,57645372.295423836,-56213162.31383004,56213162.31383004,1382199.556736386,5.297535826258018e-08
0.7343083252462679,1.3851044967269819,321.44578942167243,98940124.07807827,-101612825.19418234,101612825.19418234,1513761.7863718525,4.627185472224421e-08
0.7381124047033819,1.389788736067212,332.70021878662186,132786344.9937542,-161281343.42378575,161281343.42378575,1564502.8977602378,4.344660413897341e-08
0.7410264965895852,1.3935319556176278,340.7254335611713,164788032.4855668,-208523593.12096056,208523593.12096056,1601352.9060963055,4.1544090429728025e-08
0.7427123804457174,1.3946876912678596,349.2551402379214,194164545.02096382,-258933284.28915244,258933284.28915244,1622501.160710222,4.0291928323972994e-08
0.7439480502268272,1.3946640431267274,358.85857226235146,222202661.6341809,-316923949.0907563,316923949.0907563,1638004.9086707348,3.924402472816132e-08
0.7447639134902383,1.3945321961320492,365.64672533062645,248971955.8544965,-359438852.3979945,359438852.3979945,1648072.1680707722,3.8563403091460896e-08
0.7453587526164783,1.3936667672487053,373.55701749571136,273552058.8593276,-409277904.0875442,409277904.0875442,1655655.194365269,3.7938088218454794e-08
0.7451383080050822,1.3920371006919827,378.13272835121876,296790748.577822,-436393184.4055159,436393184.4055159,1653800.226762794,3.779653356380559e-08
