spectrum_id,intensity_w_cm2,delta_mu_ev,temperature_k_exp,p_th_exp_w_cm3,carrier_density_exp_cm3,delta_mu_carrier_statistics_model,carrier_density_exp_mb_cm3,carrier_density_exp_fd_cm3,mu_e_exp_ev,mu_e_exp_mb_ev,mu_e_exp_fd_ev,temperature_sim_k,temperature_error_k,temperature_abs_error_k,temperature_error_pct,temperature_rise_exp_k,temperature_rise_sim_k,carrier_density_sim_cm3,mu_e_sim_ev,carrier_density_sim_mb_cm3,mu_e_sim_mb_ev,carrier_density_sim_fd_cm3,mu_e_sim_fd_ev,temperature_sim_fd_k,temperature_error_fd_k,temperature_rise_sim_fd_k,temperature_sim_mb_k,temperature_error_mb_k,temperature_rise_sim_mb_k
12,12750.0766,1.3435355982141786,309.5827363204355,29859154.722901866,3.893653996882642e+17,fd,4.559196743273765e+17,3.893653996882642e+17,0.7157603809987437,0.7119828554705092,0.7157603809987437,310.01453963586994,0.4318033154344221,0.4318033154344221,0.1394791326437148,11.432736320435538,11.86453963586996,3.908906422456627e+17,0.7158285475434535,4.578345601819281e+17,0.7120389470823171,3.908906422456627e+17,0.7158285475434535,310.01453963586994,0.4318033154344221,11.86453963586996,310.599186178934,1.016449858498504,12.449186178934042
13,24733.2312,1.3681099103855894,312.96167214589656,57857689.56933907,5.885729003488508e+17,fd,7.428436988197596e+17,5.885729003488508e+17,0.7303560187163688,0.7247089381458699,0.7303560187163688,317.4446396306466,4.48296748475002,4.48296748475002,1.432433388411904,14.81167214589658,19.2946396306466,6.084660090349751e+17,0.7310866559075692,7.700480307519798e+17,0.725291279371409,6.084660090349751e+17,0.7310866559075692,317.4446396306466,4.48296748475002,19.2946396306466,318.4476494518513,5.485977305954748,20.297649451851328
14,42564.1654,1.385104496726982,321.44578942167243,99298373.0854536,7.987776739703192e+17,fd,1.0800014876693384e+18,7.987776739703204e+17,0.7418309987138548,0.734308325246268,0.7418309987138548,327.3773282177353,5.931538796062853,5.931538796062853,1.845268779763627,23.295789421672453,29.227328217735305,8.290896858023795e+17,0.7428142213646723,1.1242428324681574e+18,0.73507883709664,8.290896858023795e+17,0.7428142213646723,327.3773282177353,5.931538796062853,29.227328217735305,328.9534150562549,7.507625634582496,30.80341505625495
15,57327.4119,1.389788736067212,332.70021878662186,133264175.43553522,9.118269473492248e+17,fd,1.2636751250339901e+18,9.118269473492247e+17,0.7465374850177049,0.7381124047033819,0.7465374850177049,335.4765895652797,2.7763707786578493,2.7763707786578493,0.8344962287020562,34.55021878662188,37.32658956527973,9.267288839699439e+17,0.7469995534916858,1.2858596548141688e+18,0.7384730575895103,9.267288839699439e+17,0.7469995534916858,335.4765895652797,2.7763707786578493,37.32658956527973,337.52762800980344,4.827409223181576,39.37762800980346
16,71323.7366,1.3935319556176278,340.7254335611713,165369984.5005572,1.0020809482563676e+18,fd,1.4156285031388954e+18,1.0020809482563677e+18,0.7501625670160307,0.7410264965895852,0.7501625670160307,342.80213815461127,2.076704593439956,2.076704593439956,0.6094950329169132,42.57543356117134,44.65213815461129,1.0136374038991388e+18,0.7505091083524688,1.433087853845467e+18,0.7412962622530972,1.0136374038991388e+18,0.7505091083524688,342.80213815461127,2.076704593439956,44.65213815461129,345.0845096830429,4.359076121871567,46.934509683042904
17,84265.5436,1.3946876912678596,349.2551402379214,194840366.46163532,1.0649767670878308e+18,fd,1.5166959370623885e+18,1.0649767670878309e+18,0.7522967246859996,0.7427123804457174,0.7522967246859996,349.4333034616144,0.17816322369299087,0.17816322369299087,0.051012341170303635,51.10514023792143,51.28330346161442,1.065988705715709e+18,0.7523264832884718,1.5182335526532746e+18,0.7427355239974796,1.065988705715709e+18,0.7523264832884718,349.4333034616144,0.17816322369299087,51.28330346161442,352.06580929249844,2.8106690545770334,53.915809292498466
18,96728.0245,1.3946640431267274,358.85857226235146,222973386.2471312,1.1196807125202634e+18,fd,1.5997897998650755e+18,1.1196807125202634e+18,0.7538865248491115,0.7439480502268272,0.7538865248491115,355.7340933123397,-3.124478950011735,3.124478950011735,-0.8706713985718908,60.70857226235148,57.584093312339746,1.1016754493488655e+18,0.7533644794906285,1.572377682287147e+18,0.7435421777981043,1.1016754493488655e+18,0.7533644794906285,355.7340933123397,-3.124478950011735,57.584093312339746,358.6109406978288,-0.24763156452263502,60.460940697828846
19,108615.314,1.3945321961320492,365.64672533062645,249821176.1552571,1.1573508758219484e+18,fd,1.656479632219038e+18,1.1573508758219484e+18,0.7549396208885484,0.7447639134902383,0.7549396208885484,361.557167997599,-4.0895573330274715,4.0895573330274715,-1.11844494965177,67.49672533062648,63.407167997599004,1.1335322383921207e+18,0.7542562032857569,1.620175277373784e+18,0.7442326765724312,1.1335322383921207e+18,0.7542562032857569,361.557167997599,-4.0895573330274715,63.407167997599004,364.6864327660791,-0.9602925645473306,66.53643276607914
20,119639.816,1.3936667672487053,373.55701749571136,274483625.2944417,1.191975652341625e+18,fd,1.7044778820649347e+18,1.1919756523416253e+18,0.7557280498399355,0.7453587526164783,0.7557280498399355,366.8995139907672,-6.657503504944145,6.657503504944145,-1.782192059882954,75.40701749571139,68.74951399076724,1.1529107409120867e+18,0.7546156651518419,1.6449923212731525e+18,0.7444939373432717,1.1529107409120867e+18,0.7546156651518419,366.8995139907672,-6.657503504944145,68.74951399076724,370.27313266659837,-3.283884829112992,72.1231326665984
21,129993.262,1.3920371006919827,378.1327283512188,297779959.5247841,1.196648330406279e+18,fd,1.7027006843409088e+18,1.196648330406279e+18,0.755488949578213,0.7451383080050822,0.755488949578213,371.991112232912,-6.1416161183068425,6.1416161183068425,-1.6241958597676214,79.98272835121884,73.841112232912,1.1605891947657503e+18,0.7544633565010493,1.6479880909177213e+18,0.7443405069348554,1.1605891947657503e+18,0.7544633565010493,371.991112232912,-6.1416161183068425,73.841112232912,375.60468842575364,-2.5280399254651797,77.45468842575366
