mu_e_ev,temperature_k,du_dt_intra_w_cm3,p_th_model_w_cm3,q_s_cm1,tau_c_lo_energy_s
0.5394185588816904,630.0,-346581835.7851603,346581835.7851603,369805.1702042152,2.074245470301745e-07
0.5394185588816904,635.0,-359534881.1646193,359534881.1646193,375071.4764548465,2.0308277183558973e-07
0.5394185588816904,640.0,-372758948.57566136,372758948.57566136,380331.4024124361,1.9889988778704613e-07
0.5394185588816904,645.0,-386254707.1038163,386254707.1038163,385584.4671888756,1.948680066815104e-07
0.5394185588816904,650.0,-400022781.2362849,400022781.2362849,390830.2076622854,1.909797285851477e-07
0.5394185588816904,655.0,-414063752.07195437,414063752.07195437,396068.1779855131,1.872281058882956e-07
0.5394185588816904,660.0,-428378158.50918406,428378158.50918406,401297.9491050116,1.836066104099469e-07
0.5394185588816904,665.0,-442966498.411127,442966498.411127,406519.10829003935,1.8010910326046508e-07
0.5394185588816904,670.0,-457829229.7484133,457829229.7484133,411731.2586714982,1.767298072020029e-07
0.5394185588816904,675.0,-472966771.71902126,472966771.71902126,416934.0187917735,1.7346328127333807e-07
0.5394185588816904,680.0,-488379505.8453003,488379505.8453003,422127.0221638056,1.7030439746991437e-07
0.5394185588816904,685.0,-504067777.0480485,504067777.0480485,427309.91684105055,1.672483192913274e-07
0.5394185588816904,690.0,-520031894.6977194,520031894.6977194,432482.36499645875,1.6429048198745073e-07
0.5394185588816904,695.0,-536272133.642732,536272133.642732,437644.0425121919,1.614265743513644e-07
0.5394185588816904,700.0,-552788735.2150233,552788735.2150233,442794.63857871376,1.5865252192225894e-07
0.5394185588816904,705.0,-569581908.212964,569581908.212964,447933.85530318314,1.5596447147493764e-07
0.5394185588816904,710.0,-586651829.8617553,586651829.8617553,453061.40732814913,1.5335877668453333e-07
0.5394185588816904,715.0,-603998646.7515464,603998646.7515464,458177.0214589453,1.5083198486574137e-07
0.5394185588816904,720.0,-621622475.7534504,621622475.7534504,463280.4363006893,1.4838082469547938e-07
