temperature_k,x_limit,delta_mu_limit_ev,mb_relative_error_limit,mb_valid_over_entire_scan,x_limit_conservative
302.65,-2.3294797687861273,1.363246331072216,0.05,False,-2.3294797687861273
307.68,-2.3294797687861273,1.3622366137264148,0.05,False,-2.3294797687861273
364.97,-2.3294797687861273,1.3507362744140978,0.05,False,-2.3294797687861273
