delta_mu_ev,temperature_k_exp,p_th_exp_w_cm3,delta_mu_carrier_statistics_model,mu_e_mb_ev_at_exp_state,du_dt_intra_mb_w_cm3_at_exp_state,p_th_model_mb_w_cm3_at_exp_state,q_s_mb_cm1_at_exp_state,tau_c_lo_energy_mb_s_at_exp_state,mu_e_fd_ev_at_exp_state,du_dt_intra_fd_w_cm3_at_exp_state,p_th_model_fd_w_cm3_at_exp_state,q_s_fd_cm1_at_exp_state,tau_c_lo_energy_fd_s_at_exp_state,mu_e_ev_at_exp_state,du_dt_intra_w_cm3_at_exp_state,p_th_model_w_cm3_at_exp_state,q_s_cm1_at_exp_state,tau_c_lo_energy_s_at_exp_state
1.3435355982141786,309.5827363204355,29859154.722901862,fd,0.7119828554705092,-27484934.26612147,27484934.26612147,1548300.7776020074,8.349575757015143e-08,0.7157603809987437,-28769599.047074508,28769599.047074508,1661892.7530854354,7.976737543545936e-08,0.7157603809987437,-28769599.047074508,28769599.047074508,1661892.7530854354,7.976737543545936e-08
1.3681099103855894,312.96167214589656,57857689.56933907,fd,0.7247089381458699,-41575852.84060701,41575852.84060701,1965634.0987179584,7.162516583907856e-08,0.7303560187163688,-43965858.780284256,43965858.780284256,2182586.9667413817,6.773158621764444e-08,0.7303560187163688,-43965858.780284256,43965858.780284256,2182586.9667413817,6.773158621764444e-08
1.3851044967269819,321.44578942167243,99298373.0854536,fd,0.7343083252462679,-73266830.67035711,73266830.67035711,2338610.194211033,6.417308472726723e-08,0.7418309987138548,-77754036.45601287,77754036.45601287,2678735.565533569,6.046963921888548e-08,0.7418309987138548,-77754036.45601287,77754036.45601287,2678735.565533569,6.046963921888548e-08
1.389788736067212,332.70021878662186,133264175.43553522,fd,0.7381124047033819,-115277409.46032469,115277409.46032469,2486512.8468011483,6.078419200094998e-08,0.7465374850177049,-122315034.35284306,122315034.35284306,2880067.804208888,5.728685951879989e-08,0.7465374850177049,-122315034.35284306,122315034.35284306,2880067.804208888,5.728685951879989e-08
1.3935319556176278,340.7254335611713,165369984.5005572,fd,0.7410264965895852,-147983406.42825502,147983406.42825502,2600590.1009618784,5.8539137816417014e-08,0.7501625670160307,-156890166.79107854,156890166.79107854,3038359.5516041326,5.521583156312304e-08,0.7501625670160307,-156890166.79107854,156890166.79107854,3038359.5516041326,5.521583156312304e-08
1.3946876912678596,349.2551402379214,194840366.46163535,fd,0.7427123804457174,-183287858.10073906,183287858.10073906,2658749.3128223373,5.692029257056522e-08,0.7522967246859996,-194223612.0075814,194223612.0075814,3117660.338667182,5.371539742201413e-08,0.7522967246859996,-194223612.0075814,194223612.0075814,3117660.338667182,5.371539742201413e-08
1.3946640431267274,358.85857226235146,222973386.2471312,fd,0.7439480502268272,-224241105.78454098,224241105.78454098,2693824.7053076136,5.5463626217149455e-08,0.7538865248491115,-237571467.49499688,237571467.49499688,3163420.0488154925,5.235150923170507e-08,0.7538865248491115,-237571467.49499688,237571467.49499688,3163420.0488154925,5.235150923170507e-08
1.3945321961320492,365.64672533062645,249821176.1552571,fd,0.7447639134902383,-254302661.03802612,254302661.03802612,2715574.602508079,5.4506005213419444e-08,0.7549396208885484,-269388375.14109,269388375.14109,3191454.0143773686,5.1453675983848565e-08,0.7549396208885484,-269388375.14109,269388375.14109,3191454.0143773686,5.1453675983848565e-08
1.3936667672487053,373.55701749571136,274483625.2944417,fd,0.7453587526164783,-289901227.7131994,289901227.7131994,2725315.3834681897,5.3559753977118575e-08,0.7557280498399355,-307130857.9964262,307130857.9964262,3201581.295254417,5.055512342613343e-08,0.7557280498399355,-307130857.9964262,307130857.9964262,3201581.295254417,5.055512342613343e-08
1.3920371006919827,378.13272835121876,297779959.5247841,fd,0.7451383080050822,-309907356.0074113,309907356.0074113,2707363.3995387168,5.322221348144693e-08,0.755488949578213,-328463973.9455234,328463973.9455234,3173390.9111292763,5.021541712100453e-08,0.755488949578213,-328463973.9455234,328463973.9455234,3173390.9111292763,5.021541712100453e-08
