delta_mu_ev,temperature_k,mu_e_ev,du_dt_intra_w_cm3,p_th_model_w_cm3,q_s_cm1,tau_c_lo_energy_s,delta_mu_carrier_statistics_model
1.0611789929294846,385.0,0.5807069015664718,-33081486.162329722,33081486.162329722,226115.6878264729,5.425791108763527e-07,fd
1.0611789929294846,390.0,0.5813655124731649,-37100213.03584568,37100213.03584568,234965.57286830858,5.124503785809316e-07,fd
1.0611789929294846,395.0,0.582024666022181,-41406404.47362781,41406404.47362781,243936.4733951659,4.848811455581017e-07,fd
1.0611789929294846,400.0,0.582684378126041,-46007817.973168984,46007817.973168984,253024.82523343843,4.595900859669679e-07,fd
1.0611789929294846,405.0,0.5833446643522893,-50912009.67527231,50912009.67527231,262227.1152887278,4.3633304989095133e-07,fd
1.0611789929294846,410.0,0.5840055403098756,-56126336.7991474,56126336.7991474,271539.8858736669,4.1489742333276426e-07,fd
1.0611789929294846,415.0,0.5846670211334127,-61657958.97562153,61657958.97562153,280959.7352807772,3.950974447131948e-07,fd
1.0611789929294846,420.0,0.5853291215123212,-67513839.855867,67513839.855867,290483.3199006064,3.767702916878679e-07,fd
1.0611789929294846,425.0,0.5859918557320108,-73700748.69065711,73700748.69065711,300107.3560610711,3.5977280446965653e-07,fd
1.0611789929294846,430.0,0.586655238308106,-80225262.77408111,80225262.77408111,309828.6240533079,3.4397872945272125e-07,fd
1.0611789929294846,435.0,0.5873192827120814,-87093767.46079558,87093767.46079558,319643.9640491603,3.2927640730851935e-07,fd
1.0611789929294846,440.0,0.5879840023968355,-94312459.2370846,94312459.2370846,329550.28111811366,3.1556680409105965e-07,fd
1.0611789929294846,445.0,0.5886494104966828,-101887347.26439317,101887347.26439317,339544.5446466998,3.027618485646543e-07,fd
1.0611789929294846,450.0,0.5893155197170051,-109824255.23974912,109824255.23974912,349623.7882487059,2.9078301584257426e-07,fd
1.0611789929294846,455.0,0.5899823422238986,-118128823.33984709,118128823.33984709,359785.10942719935,2.795601180349352e-07,fd
1.0611789929294846,460.0,0.5906498899452364,-126806511.05810544,126806511.05810544,370025.6709292625,2.69030266768317e-07,fd
