mu_e_ev,p_th_w_cm3,temperature_k
0.5394185588816904,59655.49546898058,300.0
0.5394185588816904,62670.93008451475,300.1722017220842
0.5394185588816904,65838.78730334944,300.3444034441684
0.5394185588816904,69166.77170308588,300.5166051662526
0.5394185588816904,72662.97730826249,300.6888068883368
0.5394185588816904,76335.90727591391,300.8610086104209
0.5394185588816904,80194.49457618507,301.0332103325051
0.5394185588816904,84248.1237182989,301.2054120545893
0.5394185588816904,88506.65357471531,301.3776137766735
0.5394185588816904,92980.44135899525,301.5498154987577
0.5394185588816904,97680.36781568444,301.7220172208419
0.5394185588816904,102617.86368348237,301.8942189429261
0.5394185588816904,107804.93749605751,302.0664206650103
0.5394185588816904,113254.20478812364,302.23862238709444
0.5394185588816904,118978.91877780942,302.41082410917863
0.5394185588816904,124993.00259994436,302.58302583126283
0.5394185588816904,131311.083168656,302.755227553347
0.5394185588816904,137948.52675163568,302.9274292754312
0.5394185588816904,144921.47634259376,303.0996309975154
0.5394185588816904,152246.89092279773,303.2718327195996
0.5394185588816904,159942.5867071833,303.4440344416838
0.5394185588816904,168027.28047534934,303.616236163768
0.5394185588816904,176520.63509282804,303.78843788585215
0.5394185588816904,185443.30733333898,303.96063960793634
0.5394185588816904,194816.99811833745,304.13284133002054
0.5394185588816904,204664.50529604522,304.30504305210474
0.5394185588816904,215009.77908832786,304.47724477418893
0.5394185588816904,225877.98034027178,304.64944649627313
0.5394185588816904,237295.54171413011,304.8216482183573
0.5394185588816904,249290.23197646817,304.9938499404415
0.5394185588816904,261891.223534861,305.35675104150135
0.5394185588816904,275129.16338840383,305.72671508020744
0.5394185588816904,289036.24766458286,306.09667911891347
0.5394185588816904,303646.2999238102,306.46664315761956
0.5394185588816904,318994.85342204146,306.8366071963256
0.5394185588816904,335119.23753157014,307.2065712350317
0.5394185588816904,352058.6685301708,307.57653527373776
0.5394185588816904,369854.34497940546,307.94649931244385
0.5394185588816904,388549.5479240621,308.3164633511499
0.5394185588816904,408189.7461564214,308.68642738985596
0.5394185588816904,428822.7068013668,309.05639142856205
0.5394185588816904,450498.61149129266,309.4263554672681
0.5394185588816904,473270.17841335945,309.79631950597417
0.5394185588816904,497192.7905259302,310.23771188073977
0.5394185588816904,522324.6302560271,310.76659672990536
0.5394185588816904,548726.821005396,311.2954815790709
0.5394185588816904,576463.5758093536,311.82436642823643
0.5394185588816904,605602.3535099601,312.35325127740197
0.5394185588816904,636214.022823351,312.88213612656756
0.5394185588816904,668373.0347002596,313.4110209757331
0.5394185588816904,702157.603398927,313.93990582489863
0.5394185588816904,737649.8967107916,314.46879067406417
0.5394185588816904,774936.2358016063,314.9976755232297
0.5394185588816904,814107.3051540185,315.66347270837247
0.5394185588816904,855258.3731222175,316.32987428678365
0.5394185588816904,898489.5236350705,316.99627586519495
0.5394185588816904,943905.8996112406,317.6626774436062
0.5394185588816904,991617.9586783671,318.3290790220174
0.5394185588816904,1041741.7418181609,318.99548060042866
0.5394185588816904,1094399.1555908585,319.6618821788399
0.5394185588816904,1149718.2686253996,320.3888815015945
0.5394185588816904,1207833.6230964358,321.1782938339239
0.5394185588816904,1268886.5619457148,321.96770616625327
0.5394185588816904,1333025.572643679,322.75711849858266
0.5394185588816904,1400406.648327347,323.54653083091205
0.5394185588816904,1471193.6671927976,324.33594316324144
0.5394185588816904,1545558.7910649923,325.1432459175163
0.5394185588816904,1623682.8841142869,326.04532119812734
0.5394185588816904,1705755.9527380269,326.9473964787385
0.5394185588816904,1791977.6076769945,327.8494717593495
0.5394185588816904,1882557.5494907566,328.7515470399606
0.5394185588816904,1977716.0785724816,329.6536223205716
0.5394185588816904,2077684.630943772,330.6204410170124
0.5394185588816904,2182706.341132551,331.62761560861196
0.5394185588816904,2293036.633503008,332.63479020021157
0.5394185588816904,2408943.843475783,333.6419647918111
0.5394185588816904,2530709.8701492525,334.6491393834107
0.5394185588816904,2658630.861909185,335.72115075561214
0.5394185588816904,2793017.9366942197,336.8278233931313
0.5394185588816904,2934197.9386689817,337.93449603065056
0.5394185588816904,3082514.2331450186,339.04116866816975
0.5394185588816904,3238327.541683134,340.1605761128276
0.5394185588816904,3402016.819407878,341.36257571285375
0.5394185588816904,3573980.176668172,342.5645753128799
0.5394185588816904,3754635.8472855105,343.7665749129061
0.5394185588816904,3944423.2057446735,344.96857451293226
0.5394185588816904,4143803.8358008536,346.26038706937993
0.5394185588816904,4353262.653102181,347.55461076397705
0.5394185588816904,4573309.084557978,348.8488344585742
0.5394185588816904,4804478.307321101,350.1529991117493
0.5394185588816904,5047332.550397709,351.537157031369
0.5394185588816904,5302462.46205011,352.92131495098863
0.5394185588816904,5570488.54631843,354.3054728706084
0.5394185588816904,5852062.67215465,355.7336107226088
0.5394185588816904,6147869.658839848,357.2060407619942
0.5394185588816904,6458628.941539913,358.67847080137943
0.5394185588816904,6785096.321051286,360.15982721928464
0.5394185588816904,7128065.801991573,361.71935728945135
0.5394185588816904,7488371.523906288,363.27888735961807
0.5394185588816904,7866889.789988064,364.83841742978484
0.5394185588816904,8264541.198342515,366.4753179644628
0.5394185588816904,8682292.880984211,368.12116140902475
0.5394185588816904,9121160.856008213,369.7670048535866
0.5394185588816904,9582212.498658061,371.4865288442207
0.5394185588816904,10066569.1372997,373.2182036154037
0.5394185588816904,10575408.780615833,374.9498783865869
0.5394185588816904,11109968.982652439,376.76466631154295
0.5394185588816904,11671549.852686811,378.58193156844885
0.5394185588816904,12261517.217236245,380.4179874214946
0.5394185588816904,12881305.941898644,382.3207931821139
