temperature_k,reduced_qfls,delta_mu_ev,integral_ipc_be,integral_ipc_mb,ln_integral_ipc_be,ln_integral_ipc_mb,mb_relative_error,mb_log_deviation,mb_valid
302.65,-10.549421965317919,1.1488672866584322,2.2932301987560738e+20,2.2932006925858075e+20,46.881663250674166,46.881650383950145,1.286680680046004e-05,1.2866724020454967e-05,True
302.65,-10.526396917148363,1.1494677881834006,2.3466452115627852e+20,2.3466143148466635e+20,46.90468859854101,46.9046754321197,1.316650798832697e-05,1.3166421304333653e-05,True
302.65,-10.503371868978805,1.1500682897083692,2.401304409116386e+20,2.4012720563214454e+20,46.92771395338861,46.92770048028926,1.3473190118240552e-05,1.3473099350846951e-05,True
302.65,-10.480346820809249,1.1506687912333378,2.4572367727425484e+20,2.4572028952473983e+20,46.95073931537958,46.95072552845881,1.378701580390107e-05,1.378692076769994e-05,True
302.65,-10.457321772639691,1.1512692927583064,2.5144719588785675e+20,2.5144364848278376e+20,46.9737646846803,46.97375057662837,1.4108151446201589e-05,1.4108051928474197e-05,True
302.65,-10.434296724470135,1.151869794283275,2.5730403148016078e+20,2.5730031689535367e+20,46.99679006146104,46.99677562479793,1.4436767322933974e-05,1.4436663114736348e-05,True
302.65,-10.411271676300577,1.1524702958082436,2.632972894723536e+20,2.632933998290375e+20,47.01981544589604,47.019800672967484,1.4773037678050827e-05,1.4772928558670628e-05,True
302.65,-10.388246628131022,1.1530707973332122,2.6943014762607306e+20,2.6942607467416266e+20,47.04284083816359,47.04282572113704,1.511714081625648e-05,1.5117026549660295e-05,True
302.65,-10.365221579961464,1.1536712988581808,2.7570585772877657e+20,2.757015928293768e+20,47.06586623844615,47.0658507693066,1.5469259194267337e-05,1.5469139547974464e-05,True
302.65,-10.342196531791908,1.1542718003831494,2.8212774731837617e+20,2.8212328142545836e+20,47.088891646930385,47.08887581747616,1.5829579520065806e-05,1.5829454227400674e-05,True
302.65,-10.31917148362235,1.154872301908118,2.886992214480719e+20,2.8869454508928605e+20,47.111917063807375,47.11190086564571,1.6198292851044016e-05,1.6198161667091426e-05,True
302.65,-10.296146435452794,1.1554728034330863,2.9542376449230504e+20,2.954188677488876e+20,47.13494248927259,47.134925913815266,1.657559469636638e-05,1.6575457323142473e-05,True
302.65,-10.273121387283236,1.1560733049580552,3.023049419948039e+20,3.022998144805394e+20,47.157967923526094,47.157950961984824,1.6961685118221936e-05,1.696154127017735e-05,True
302.65,-10.25009633911368,1.1566738064830235,3.09346402559691e+20,3.0934103339888135e+20,47.1809933667726,47.18097601015438,1.7356768840626202e-05,1.7356618215558228e-05,True
302.65,-10.227071290944123,1.1572743080079921,3.165518797866692e+20,3.165462575910652e+20,47.204018819221574,47.20400105832394,1.776105535666872e-05,1.776089763438904e-05,True
302.65,-10.204046242774567,1.1578748095329607,3.239251942512986e+20,3.239193070959436e+20,47.22704428108738,47.2270261064935,1.8174759040423538e-05,1.8174593883202306e-05,True
302.65,-10.181021194605009,1.1584753110579293,3.3147025553143326e+20,3.314640909293694e+20,47.25006975258937,47.250051154663055,1.859809925885969e-05,1.8597926313645985e-05,True
302.65,-10.157996146435453,1.159075812582898,3.391910642808766e+20,3.391846091566578e+20,47.273095233952006,47.27307620283261,1.903130049107915e-05,1.903111939327573e-05,True
302.65,-10.134971098265897,1.1596763141078665,3.4709171435137335e+20,3.470849550133306e+20,47.29612072540498,47.29610125100216,1.9474592445112293e-05,1.9474402819241732e-05,True
302.65,-10.11194605009634,1.1602768156328351,3.551763949640507e+20,3.5516931707525064e+20,47.31914622718334,47.31912629917172,1.9928210179820383e-05,1.9928011617764696e-05,True
302.65,-10.088921001926781,1.1608773171578037,3.6344939293147044e+20,3.63441981479304e+20,47.342171739527586,47.34215134734128,2.0392394231238953e-05,2.0392186307560678e-05,True
302.65,-10.065895953757225,1.1614778186827723,3.719150949314703e+20,3.71907334195809e+20,47.36519726268386,47.36517639551084,2.0867390738699143e-05,2.0867173020633345e-05,True
302.65,-10.04287090558767,1.162078320207741,3.805779898340041e+20,3.805698633538554e+20,47.38822279690399,47.388201443680394,2.1353451576722193e-05,2.1353223594644533e-05,True
302.65,-10.019845857418112,1.1626788217327095,3.894426710822116e+20,3.894341616208022e+20,47.41124834244571,47.41122649184995,2.1850834487580073e-05,2.1850595757655356e-05,True
302.65,-9.996820809248554,1.1632793232576781,3.985138391289853e+20,3.985049286372001e+20,47.434273899572744,47.43425154001951,2.2359803216520646e-05,2.235955323470762e-05,True
302.65,-9.973795761078998,1.1638798247826467,4.0779630393033386e+20,4.077869735084299e+20,47.457299468554965,47.45727658818907,2.288062765631871e-05,2.288036589703779e-05,True
302.65,-9.950770712909442,1.1644803263076153,4.1729498749686055e+20,4.172852173543778e+20,47.480325049668515,47.48030163635862,2.341358398627591e-05,2.3413309897080126e-05,True
302.65,-9.927745664739884,1.165080827832584,4.270149265047127e+20,4.2700469591849547e+20,47.503350643195986,47.503326684528176,2.3958954819658373e-05,2.3958667810575207e-05,True
302.65,-9.904720616570327,1.1656813293575525,4.3696127496739036e+20,4.369505622376294e+20,47.526376249426555,47.526351732697734,2.4517029354687025e-05,2.4516728821311062e-05,True
302.65,-9.88169556840077,1.166281830882521,4.471393069698368e+20,4.471280893740407e+20,47.54940186865612,47.54937678086729,2.508810352708224e-05,2.508778882770457e-05,True
302.65,-9.858670520231215,1.1668823324074895,4.575544194662631e+20,4.575426732110588e+20,47.572427501187484,47.57240182903685,2.5672480168603684e-05,2.5672150634648006e-05,True
302.65,-9.835645472061657,1.167482833932458,4.682121351431863e+20,4.681998353138498e+20,47.59545314733051,47.59542687720641,2.6270469164479948e-05,2.6270124102723003e-05,True
302.65,-9.812620423892099,1.1680833354574267,4.7911810534920985e+20,4.7910522585681684e+20,47.61847880740226,47.618451925375965,2.6882387621496306e-05,2.688202629741454e-05,True
302.65,-9.789595375722543,1.1686838369823953,4.902781130931047e+20,4.9026462661919054e+20,47.6415044817272,47.64147697354552,2.7508560034528173e-05,2.7508181680957478e-05,True
302.65,-9.766570327552987,1.169284338507364,5.016980761117803e+20,5.016839540503926e+20,47.66453017063735,47.66450202171507,2.8149318457737493e-05,2.814892227576138e-05,True
302.65,-9.74354527938343,1.1698848400323325,5.133840500097766e+20,5.1336926240679566e+20,47.68755587447246,47.68752706988463,2.880500268287456e-05,2.880458782783535e-05,True
302.65,-9.720520231213873,1.170485341557301,5.2534223147194306e+20,5.253267469615429e+20,47.7105815935802,47.71055211805419,2.9475960418468006e-05,2.947552601284542e-05,True
302.65,-9.697495183044316,1.1710858430822697,5.375789615510273e+20,5.3756274728914184e+20,47.73360732831634,47.733577166223746,3.0162547474121837e-05,3.0162092592433964e-05,True
302.65,-9.67447013487476,1.171686344607238,5.5010072903189476e+20,5.5008375062654845e+20,47.75663307904493,47.756602214393304,3.086512794991947e-05,3.08646516273825e-05,True
302.65,-9.651445086705202,1.1722868461322067,5.6291417387419966e+20,5.628963953125538e+20,47.779658846138524,47.77962726256286,3.158407442982458e-05,3.1583575662352814e-05,True
302.65,-9.628420038535646,1.1728873476571753,5.760260907353049e+20,5.760074743072663e+20,47.80268462997832,47.80265231073242,3.2319768178412644e-05,3.231924590352264e-05,True
302.65,-9.605394990366088,1.1734878491821439,5.8944343257535676e+20,5.894239387935856e+20,47.82571043095443,47.82567735890198,3.307259934359763e-05,3.307205245306477e-05,True
302.65,-9.582369942196532,1.1740883507071125,6.031733143463994e+20,6.031529018625465e+20,47.848736249466036,47.84870240707153,3.384296716468782e-05,3.3842394508099005e-05,True
302.65,-9.559344894026975,1.174688852232081,6.172230167675233e+20,6.172016422845198e+20,47.871762085921624,47.871727455241086,3.463128018310613e-05,3.463068053832785e-05,True
302.65,-9.536319845857419,1.1752893537570497,6.315999901880207e+20,6.315776083682347e+20,47.89478794073919,47.89475250341064,3.543795645932768e-05,3.543732854893733e-05,True
302.65,-9.51329479768786,1.1758898552820183,6.463118585406419e+20,6.46288421909704e+20,47.917813814346495,47.9177775515802,3.6263423795590555e-05,3.6262766293759796e-05,True
302.65,-9.490269749518305,1.1764903568069869,6.613664233870129e+20,6.613418822331108e+20,47.94083970718123,47.94080259974976,3.710811996238128e-05,3.7107431474225905e-05,True
302.65,-9.467244701348747,1.1770908583319555,6.767716680574076e+20,6.767459703258338e+20,47.96386561969131,47.96382764791932,3.79724929302494e-05,3.797177199516e-05,True
302.65,-9.444219653179191,1.177691359856924,6.925357618870401e+20,6.925088530697687e+20,47.98689155233507,47.986852696088874,3.885700110850543e-05,3.8856246192153776e-05,True
302.65,-9.421194605009633,1.1782918613818927,7.08667064551165e+20,7.086388875712237e+20,48.00991750558153,48.00987774425843,3.9762113589025816e-05,3.9761323094467116e-05,True
302.65,-9.398169556840077,1.1788923629068613,7.251741305012562e+20,7.251446255916504e+20,48.03294347991063,48.03290279242798,4.0688310392944516e-05,4.0687482645296313e-05,True
302.65,-9.37514450867052,1.1794928644318299,7.420657135046663e+20,7.420348180815934e+20,48.05596947581351,48.05592784059754,4.163608272822472e-05,4.1635215971780326e-05,True
302.65,-9.352119460500964,1.1800933659567985,7.593507712901368e+20,7.593184198202273e+20,48.07899549379274,48.0789528887671,4.260593324878492e-05,4.260502564079616e-05,True
302.65,-9.329094412331406,1.180693867481767,7.770384703016787e+20,7.770045941629785e+20,48.1020215343626,48.101977936936656,4.3598376321840604e-05,4.359742594317595e-05,True
302.65,-9.30606936416185,1.1812943690067355,7.951381905633069e+20,7.951027178997076e+20,48.12504759804934,48.125002985106214,4.4613938300797074e-05,4.461294312818609e-05,True
302.65,-9.283044315992292,1.181894870531704,8.136595306572635e+20,8.136223862260719e+20,48.1480736853915,48.14802803327577,4.565315780458157e-05,4.565211573037686e-05,True
302.65,-9.260019267822736,1.1824953720566727,8.326123128183385e+20,8.325734178306593e+20,48.17109979694015,48.17105308144533,4.6716586004524885e-05,4.671549481827242e-05,True
302.65,-9.23699421965318,1.1830958735816413,8.520065881470355e+20,8.519658601006339e+20,48.19412593325919,48.19407812961488,4.7804786915683906e-05,4.780364430700956e-05,True
302.65,-9.213969171483622,1.1836963751066099,8.718526419443352e+20,8.718099944486184e+20,48.21715209492567,48.21710317778444,4.891833769771203e-05,4.8917141235449435e-05,True
302.65,-9.190944123314065,1.1842968766315785,8.921609991708989e+20,8.92116341763651e+20,48.2401782825301,48.240128225953995,5.005782895950439e-05,5.0056576107238016e-05,True
302.65,-9.167919075144509,1.184897378156547,9.129424300336392e+20,9.128956679891148e+20,48.26320449667673,48.26315327412355,5.122386507472321e-05,5.122255317502322e-05,True
302.65,-9.144894026974953,1.1854978796815157,9.342079557026133e+20,9.341589898305883e+20,48.286230737983885,48.28617832229311,5.241706450176409e-05,5.2415690774409995e-05,True
302.65,-9.121868978805395,1.1860983812064843,9.559688541612886e+20,9.559175805966383e+20,48.30925700708431,48.30920337046267,5.363806011215999e-05,5.363662164370453e-05,True
302.65,-9.098843930635837,1.1866988827314529,9.782366661932991e+20,9.781829761756575e+20,48.332283304625484,48.332228418632226,5.488749952653471e-05,5.488599325786936e-05,True
302.65,-9.075818882466281,1.1872993842564215,1.0010232015088879e+21,1.0009669811519209e+21,48.35530963126999,48.35525346680178,5.6166045459660197e-05,5.6164468212216434e-05,True
302.65,-9.052793834296725,1.1878998857813898,1.0243405450142961e+21,1.0242816750641012e+21,48.37833598769582,48.378278514971335,5.747437607062089e-05,5.7472724485307936e-05,True
302.65,-9.029768786127168,1.1885003873063584,1.0482010632274332e+21,1.0481394188095484e+21,48.40136237459679,48.40130356314089,5.8813185324968487e-05,5.881145590080905e-05,True
302.65,-9.00674373795761,1.189100888831327,1.0726174108432529e+21,1.0725528611977424e+21,48.424388792682876,48.42432861131045,6.0183183361539605e-05,6.0181372425915924e-05,True
302.65,-8.983718689788054,1.1897013903562956,1.0976025374523416e+21,1.0975349456563937e+21,48.4474152426806,48.44735365948001,6.15850968712639e-05,6.158320059057587e-05,True
302.65,-8.960693641618498,1.1903018918812642,1.123169694416296e+21,1.1230989170937458e+21,48.47044172533339,48.470378707649566,6.301966948152327e-05,6.301768382144246e-05,True
302.65,-8.93766859344894,1.1909023934062328,1.1493324419035493e+21,1.1492583289207073e+21,48.493468241402034,48.49340375581912,6.448766215294555e-05,6.448558291083373e-05,True
302.65,-8.914643545279382,1.1915028949312014,1.1761046560894e+21,1.1760270502365459e+21,48.516494791665025,48.51642880398868,6.598985358241549e-05,6.598767634358182e-05,True
302.65,-8.891618497109826,1.19210339645617,1.2035005365240964e+21,1.2034192731819575e+21,48.539521376919005,48.53945385215823,6.752704061652182e-05,6.752476077309666e-05,True
302.65,-8.86859344894027,1.1927038979811386,1.231534613672901e+21,1.2314495204634083e+21,48.56254799797917,48.56247890032779,6.910003867699466e-05,6.909765138374269e-05,True
302.65,-8.845568400770713,1.1933043995061072,1.2602217566321388e+21,1.260132653052724e+21,48.58557465567973,48.58550394849735,7.070968219013984e-05,7.07071823811134e-05,True
302.65,-8.822543352601155,1.1939049010310758,1.2895771810253717e+21,1.2894838780660204e+21,48.608601350874316,48.608528996666905,7.2356825035369e-05,7.235420741125154e-05,True
302.65,-8.799518304431599,1.1945054025560444,1.3196164570839007e+21,1.3195187568261593e+21,48.63162808443646,48.63155404483646,7.404234099439577e-05,7.403959999408016e-05,True
302.65,-8.776493256262043,1.195105904081013,1.3503555179159206e+21,1.3502532131129978e+21,48.654654857260056,48.65457909300602,7.576712421730747e-05,7.576425403499343e-05,True
302.65,-8.753468208092485,1.1957064056059816,1.3818106679687174e+21,1.3817035416057933e+21,48.677681670259815,48.67760414117558,7.753208969818459e-05,7.752908423697136e-05,True
302.65,-8.73044315992293,1.19630690713095,1.4139985916884416e+21,1.4138864165222487e+21,48.70070852437179,48.70062918934513,7.933817376137853e-05,7.933502666190861e-05,True
302.65,-8.707418111753372,1.1969074086559186,1.446936362382101e+21,1.4468189004588043e+21,48.723735420553815,48.723654237514694,8.118633455755919e-05,8.1183039121413e-05,True
302.65,-8.684393063583816,1.1975079101808872,1.4806414512864546e+21,1.4805184534368003e+21,48.746762359786075,48.746679285684245,8.307755257552785e-05,8.307410183050479e-05,True
302.65,-8.661368015414258,1.1981084117058558,1.5151317368487178e+21,1.515002942159388e+21,48.76978934307158,48.7697043338538,8.50128311609133e-05,8.500921777709891e-05,True
302.65,-8.638342967244702,1.1987089132308244,1.5504255142239653e+21,1.550290649484009e+21,48.79281637143672,48.79272938202336,8.699319705063324e-05,8.698941336149346e-05,True
302.65,-8.615317919075144,1.199309414755793,1.5865415049943864e+21,1.5864002841155548e+21,48.81584344593182,48.81575443019292,8.901970092023426e-05,8.901573890085501e-05,True
302.65,-8.592292870905588,1.1999099162807616,1.623498867115498e+21,1.6233509905252564e+21,48.83887056763166,48.838779478362476,9.109341793900327e-05,9.108926918344196e-05,True
302.65,-8.56926782273603,1.2005104178057302,1.6613172050947266e+21,1.6611623591006495e+21,48.861897737636085,48.86180452653203,9.321544834484108e-05,9.321110405124955e-05,True
302.65,-8.546242774566474,1.2011109193306988,1.7000165804077084e+21,1.6998544365319115e+21,48.884924957070574,48.88482957470159,9.538691802779553e-05,9.538236898265495e-05,True
302.65,-8.523217726396917,1.2017114208556674,1.7396175221579676e+21,1.739447736440164e+21,48.90795222708683,48.90785462287115,9.760897912980404e-05,9.76042156821677e-05,True
302.65,-8.50019267822736,1.202311922380636,1.7801410379855812e+21,1.7799632502532832e+21,48.9309795488634,48.9308796710407,9.988281065509419e-05,9.98778226986019e-05,True
